INDEX,LINK,LINK_RTF
 T-597-12,https://www.corteconstitucional.gov.co/Relatoria/2012/T-597-12.htm,https://www.corteconstitucional.gov.co/sentencias/2012/T-597-12.rtf 
 T-596-12,https://www.corteconstitucional.gov.co/Relatoria/2012/T-596-12.htm,https://www.corteconstitucional.gov.co/sentencias/2012/T-596-12.rtf 
 T-595-12,https://www.corteconstitucional.gov.co/Relatoria/2012/T-595-12.htm,https://www.corteconstitucional.gov.co/sentencias/2012/T-595-12.rtf 
 T-594-12,https://www.corteconstitucional.gov.co/Relatoria/2012/T-594-12.htm,https://www.corteconstitucional.gov.co/sentencias/2012/T-594-12.rtf 
 T-587A-12,https://www.corteconstitucional.gov.co/Relatoria/2012/T-587A-12.htm,https://www.corteconstitucional.gov.co/sentencias/2012/T-587A-12.rtf 
 T-587-12,https://www.corteconstitucional.gov.co/Relatoria/2012/T-587-12.htm,https://www.corteconstitucional.gov.co/sentencias/2012/T-587-12.rtf 
 T-586-12,https://www.corteconstitucional.gov.co/Relatoria/2012/T-586-12.htm,https://www.corteconstitucional.gov.co/sentencias/2012/T-586-12.rtf 
 T-585-12,https://www.corteconstitucional.gov.co/Relatoria/2012/T-585-12.htm,https://www.corteconstitucional.gov.co/sentencias/2012/T-585-12.rtf 
 T-584-12,https://www.corteconstitucional.gov.co/Relatoria/2012/T-584-12.htm,https://www.corteconstitucional.gov.co/sentencias/2012/T-584-12.rtf 
 T-584-12,https://www.corteconstitucional.gov.co/Relatoria/2012/T-584-12.htm,https://www.corteconstitucional.gov.co/sentencias/2012/T-584-12.rtf 
 T-583-12,https://www.corteconstitucional.gov.co/Relatoria/2012/T-583-12.htm,https://www.corteconstitucional.gov.co/sentencias/2012/T-583-12.rtf 
 T-582-12,https://www.corteconstitucional.gov.co/Relatoria/2012/T-582-12.htm,https://www.corteconstitucional.gov.co/sentencias/2012/T-582-12.rtf 
 T-581-12,https://www.corteconstitucional.gov.co/Relatoria/2012/T-581-12.htm,https://www.corteconstitucional.gov.co/sentencias/2012/T-581-12.rtf 
 T-580-12,https://www.corteconstitucional.gov.co/Relatoria/2012/T-580-12.htm,https://www.corteconstitucional.gov.co/sentencias/2012/T-580-12.rtf 
 T-579-12,https://www.corteconstitucional.gov.co/Relatoria/2012/T-579-12.htm,https://www.corteconstitucional.gov.co/sentencias/2012/T-579-12.rtf 
 T-578-12,https://www.corteconstitucional.gov.co/Relatoria/2012/T-578-12.htm,https://www.corteconstitucional.gov.co/sentencias/2012/T-578-12.rtf 
 T-577-12,https://www.corteconstitucional.gov.co/Relatoria/2012/T-577-12.htm,https://www.corteconstitucional.gov.co/sentencias/2012/T-577-12.rtf 
 T-576-12,https://www.corteconstitucional.gov.co/Relatoria/2012/T-576-12.htm,https://www.corteconstitucional.gov.co/sentencias/2012/T-576-12.rtf 
 T-575-12,https://www.corteconstitucional.gov.co/Relatoria/2012/T-575-12.htm,https://www.corteconstitucional.gov.co/sentencias/2012/T-575-12.rtf 
 T-574-12,https://www.corteconstitucional.gov.co/Relatoria/2012/T-574-12.htm,https://www.corteconstitucional.gov.co/sentencias/2012/T-574-12.rtf 
 T-573-12,https://www.corteconstitucional.gov.co/Relatoria/2012/T-573-12.htm,https://www.corteconstitucional.gov.co/sentencias/2012/T-573-12.rtf 
 T-569-12,https://www.corteconstitucional.gov.co/Relatoria/2012/T-569-12.htm,https://www.corteconstitucional.gov.co/sentencias/2012/T-569-12.rtf 
 T-568-12,https://www.corteconstitucional.gov.co/Relatoria/2012/T-568-12.htm,https://www.corteconstitucional.gov.co/sentencias/2012/T-568-12.rtf 
 T-567-12,https://www.corteconstitucional.gov.co/Relatoria/2012/T-567-12.htm,https://www.corteconstitucional.gov.co/sentencias/2012/T-567-12.rtf 
 T-566-12,https://www.corteconstitucional.gov.co/Relatoria/2012/T-566-12.htm,https://www.corteconstitucional.gov.co/sentencias/2012/T-566-12.rtf 
 T-565-12,https://www.corteconstitucional.gov.co/Relatoria/2012/T-565-12.htm,https://www.corteconstitucional.gov.co/sentencias/2012/T-565-12.rtf 
 T-564-12,https://www.corteconstitucional.gov.co/Relatoria/2012/T-564-12.htm,https://www.corteconstitucional.gov.co/sentencias/2012/T-564-12.rtf 
 T-563-12,https://www.corteconstitucional.gov.co/Relatoria/2012/T-563-12.htm,https://www.corteconstitucional.gov.co/sentencias/2012/T-563-12.rtf 
 T-562-12,https://www.corteconstitucional.gov.co/Relatoria/2012/T-562-12.htm,https://www.corteconstitucional.gov.co/sentencias/2012/T-562-12.rtf 
 T-561-12,https://www.corteconstitucional.gov.co/Relatoria/2012/T-561-12.htm,https://www.corteconstitucional.gov.co/sentencias/2012/T-561-12.rtf 
 T-560-12,https://www.corteconstitucional.gov.co/Relatoria/2012/T-560-12.htm,https://www.corteconstitucional.gov.co/sentencias/2012/T-560-12.rtf 
 T-559-12,https://www.corteconstitucional.gov.co/Relatoria/2012/T-559-12.htm,https://www.corteconstitucional.gov.co/sentencias/2012/T-559-12.rtf 
 T-558-12,https://www.corteconstitucional.gov.co/Relatoria/2012/T-558-12.htm,https://www.corteconstitucional.gov.co/sentencias/2012/T-558-12.rtf 
 T-557-12,https://www.corteconstitucional.gov.co/Relatoria/2012/T-557-12.htm,https://www.corteconstitucional.gov.co/sentencias/2012/T-557-12.rtf 
 T-556-12,https://www.corteconstitucional.gov.co/Relatoria/2012/T-556-12.htm,https://www.corteconstitucional.gov.co/sentencias/2012/T-556-12.rtf 
 T-555-12,https://www.corteconstitucional.gov.co/Relatoria/2012/T-555-12.htm,https://www.corteconstitucional.gov.co/sentencias/2012/T-555-12.rtf 
 T-554-12,https://www.corteconstitucional.gov.co/Relatoria/2012/T-554-12.htm,https://www.corteconstitucional.gov.co/sentencias/2012/T-554-12.rtf 
 T-553-12,https://www.corteconstitucional.gov.co/Relatoria/2012/T-553-12.htm,https://www.corteconstitucional.gov.co/sentencias/2012/T-553-12.rtf 
