INDEX,LINK,LINK_RTF
 T-737-99,https://www.corteconstitucional.gov.co/Relatoria/1999/T-737-99.htm,https://www.corteconstitucional.gov.co/sentencias/1999/T-737-99.rtf 
 T-736-99,https://www.corteconstitucional.gov.co/Relatoria/1999/T-736-99.htm,https://www.corteconstitucional.gov.co/sentencias/1999/T-736-99.rtf 
 T-735-99,https://www.corteconstitucional.gov.co/Relatoria/1999/T-735-99.htm,https://www.corteconstitucional.gov.co/sentencias/1999/T-735-99.rtf 
 T-734-99,https://www.corteconstitucional.gov.co/Relatoria/1999/T-734-99.htm,https://www.corteconstitucional.gov.co/sentencias/1999/T-734-99.rtf 
 T-733-99,https://www.corteconstitucional.gov.co/Relatoria/1999/T-733-99.htm,https://www.corteconstitucional.gov.co/sentencias/1999/T-733-99.rtf 
 T-732-99,https://www.corteconstitucional.gov.co/Relatoria/1999/T-732-99.htm,https://www.corteconstitucional.gov.co/sentencias/1999/T-732-99.rtf 
 T-731-99,https://www.corteconstitucional.gov.co/Relatoria/1999/T-731-99.htm,https://www.corteconstitucional.gov.co/sentencias/1999/T-731-99.rtf 
 T-730-99,https://www.corteconstitucional.gov.co/Relatoria/1999/T-730-99.htm,https://www.corteconstitucional.gov.co/sentencias/1999/T-730-99.rtf 
 T-729-99,https://www.corteconstitucional.gov.co/Relatoria/1999/T-729-99.htm,https://www.corteconstitucional.gov.co/sentencias/1999/T-729-99.rtf 
 T-728-99,https://www.corteconstitucional.gov.co/Relatoria/1999/T-728-99.htm,https://www.corteconstitucional.gov.co/sentencias/1999/T-728-99.rtf 
 T-727-99,https://www.corteconstitucional.gov.co/Relatoria/1999/T-727-99.htm,https://www.corteconstitucional.gov.co/sentencias/1999/T-727-99.rtf 
 T-726-99,https://www.corteconstitucional.gov.co/Relatoria/1999/T-726-99.htm,https://www.corteconstitucional.gov.co/sentencias/1999/T-726-99.rtf 
 T-725-99,https://www.corteconstitucional.gov.co/Relatoria/1999/T-725-99.htm,https://www.corteconstitucional.gov.co/sentencias/1999/T-725-99.rtf 
 T-718-99,https://www.corteconstitucional.gov.co/Relatoria/1999/T-718-99.htm,https://www.corteconstitucional.gov.co/sentencias/1999/T-718-99.rtf 
 T-717-99,https://www.corteconstitucional.gov.co/Relatoria/1999/T-717-99.htm,https://www.corteconstitucional.gov.co/sentencias/1999/T-717-99.rtf 
 T-716-99,https://www.corteconstitucional.gov.co/Relatoria/1999/T-716-99.htm,https://www.corteconstitucional.gov.co/sentencias/1999/T-716-99.rtf 
 T-715-99,https://www.corteconstitucional.gov.co/Relatoria/1999/T-715-99.htm,https://www.corteconstitucional.gov.co/sentencias/1999/T-715-99.rtf 
 T-714-99,https://www.corteconstitucional.gov.co/Relatoria/1999/T-714-99.htm,https://www.corteconstitucional.gov.co/sentencias/1999/T-714-99.rtf 
 T-713-99,https://www.corteconstitucional.gov.co/Relatoria/1999/T-713-99.htm,https://www.corteconstitucional.gov.co/sentencias/1999/T-713-99.rtf 
 T-711-99,https://www.corteconstitucional.gov.co/Relatoria/1999/T-711-99.htm,https://www.corteconstitucional.gov.co/sentencias/1999/T-711-99.rtf 
 T-707-99,https://www.corteconstitucional.gov.co/Relatoria/1999/T-707-99.htm,https://www.corteconstitucional.gov.co/sentencias/1999/T-707-99.rtf 
